base_price,discounted_price,product_name,category,brand,description
6.6,6.6,Shampooing Démêlant Pour Enfants à La Pomme 200ml Bio,"Bébé, Maman",Cattier,Shampooing démêlant pour enfants à la pomme 200Ml Bio.
3.1,3.1,P'tit Déj Céréales & Fruits Rouges 190g Bio,Epicerie sucrée,Moulin du pivert,P'tit Déj Céréales & Fruits Rouges 190G Bio.
3.1,3.1,P'tiwi Choc Chocolat Noir 125g Bio,Epicerie sucrée,Moulin du pivert,"Petits et grands en sont fans. Ce petit beurre très TRES fort en chocolat noir s’adresse à tous les becs fins et se laissent facilement dévorer jusqu’à la dernière miette. Le secret de ces délicieux biscuits au beurre frais de Bretagne, c’est l’alliance de la farine de blé moulue à la meunerie familiale de Montricoux (Tarn-et-Garonne), une cuillère de lait cru de la ferme du Griffoulas (Vabre Tizac en Aveyron), du sucre de canne équitablenon raffiné, une pointe de jus concentré de citron pour le goût, le tout recouvert d’une tablette de chocolat au noir équitable."
5.99,5.99,Mélange 5 Huiles Pour Enfants 25cl Bio,Epicerie Salée,Quintesens,Le mélange de 5 huiles bio pour les enfants de 3 à 9 ans de Quintesens est la seule huile adaptée aux besoins de l’enfant.
4.99,4.99,Croquants Fraise 40g Bio,Epicerie sucrée,Supersec,Croquants Fraise 40G Bio.
3.1,3.1,P'tiwi Choc Chocolat Au Lait 125g Bio,Epicerie sucrée,Moulin du pivert,"Petits et grands en sont fans. Ces petits beurres très TRES chocolat au lait s’adresse à tous les becs fins et se laissent facilement dévorer jusqu’à la dernière miette. Le secret de ces délicieux biscuits au beurre frais de Bretagne, c’est l’alliance de la farine de blé moulue à la meunerie familiale de Montricoux (Tarn-et-Garonne), une cuillère de lait cru de la ferme du Griffoulas (Vabre Tizac en Aveyron), du sucre de canne équitable non raffiné, une pointe de jus concentré de citron pour le goût, le tout recouvert d’une tablette de chocolat au lait équitable."
4.99,4.99,Croquants Cassis 40g Bio,Epicerie sucrée,Supersec,Croquants au Cassis 40G Bio.
3.49,3.49,Crosti Oz Miel 300g Bio,Epicerie sucrée,Favrichon,"Anneaux de céréales (riz complet, maïs et avoine) au bon goût de miel"
3.15,3.15,P'tit Déj Multicéréales & Graines 190g Bio,Epicerie sucrée,Moulin du pivert,P'tit Déj Multicéréales & graines 190G Bio.
3.15,3.15,P'tit Déj Fruits & Graines 190g Bio,Epicerie sucrée,Moulin du pivert,P'tit Déj Fruits & Graines 190G Bio.
